Model,PSNR_mean,PSNR_std,MSE_mean,MSE_std,MAE_mean,MAE_std,LPIPS_mean,LPIPS_std,Time_mean,Time_std,Memory_mean,Memory_std
pruned_model_39.pth,16.621355583333333,3.6143119203522205,1876.5423988333332,1294.5310074493386,144.049107,31.388118750587786,0.34946373333333336,0.14929504087667936,0.14960991666666668,0.1432701357686323,821.5925,788.1137822655517
pruned_model_4.pth,18.089173666666667,5.509394674087971,1674.8951431666667,1381.939189621248,118.82175124999999,25.194302994046993,0.29284506666666665,0.14884290432943453,0.15000766666666665,0.14364933432006471,821.5925,788.1137822655517
pruned_model_40.pth,16.59193133333333,3.565026137101483,1879.4624754166666,1289.2661799617213,143.177507,31.71613322865877,0.35504040000000003,0.1467152346825553,0.14926775,0.14285476507578668,821.5925,788.1137822655517
pruned_model_41.pth,16.489830166666668,3.459903311642044,1901.0185043333336,1284.748226079656,144.67626683333333,32.11106903966647,0.35922373333333335,0.1469447275247578,0.149534,0.14301192929472883,821.5925,788.1137822655517
pruned_model_42.pth,16.383432833333334,3.385174765436654,1927.642617,1280.5288025182736,143.32900550000002,32.206361814562044,0.3600013333333333,0.14760721838530855,0.14944533333333332,0.14304002925707116,821.5925,788.1137822655517
pruned_model_43.pth,16.14147708333333,3.401997493550162,2037.9376025833333,1334.5580642725688,141.63150149999998,31.98676152257572,0.36896439999999997,0.15108704367238407,0.14962891666666667,0.14337602435248945,821.5925,788.1137822655517
pruned_model_44.pth,16.231648166666666,3.3889750531400558,1987.8957386666668,1273.7838562042743,138.53575483333333,32.734253044875054,0.3700572,0.14598977658721166,0.14935583333333333,0.14290339376398045,821.5925,788.1137822655517
pruned_model_45.pth,16.123349666666666,3.4216917829826987,2046.1171796666667,1320.3047238071483,137.65122666666667,32.6794168639828,0.37442666666666663,0.14584891878826015,0.14954283333333335,0.14316217501701314,821.5925,788.1137822655517
pruned_model_46.pth,15.81839425,3.2793668841423145,2149.606720333333,1315.1604212075526,139.3750983333333,32.557171142213846,0.3799521333333333,0.14324345093964452,0.14932066666666666,0.14298149581797007,821.5925,788.1137822655517
pruned_model_47.pth,15.522689833333335,3.2029856215006007,2278.593253,1373.4541055506957,139.32070299999998,32.72050483515596,0.3850464,0.14052849905185671,0.1495155,0.14301644017927195,821.5925,788.1137822655517
